Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(m/s),TrueHeading,Alt(m), HorizontalAccuracy(m), VerticalAccuracy(m),ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX,calMagY,calMagZ
21-May-2019 14:59:18.593, 0.0023, 0.0774,-1.0253, 0.0110,-0.0076,-0.0028,-0.0171, 0.0350,-0.0118, 0.0050,-0.0916,-1.7106,41.740584,-91.592872,-1.0000, 270.6002, 242.369781, 2863.8, 29.1,Automotive,Low, 98.0131, 0.0000, 64.0955, 24.6794,-275.2480, 0.0000, 0.0000, 0.0000
21-May-2019 14:59:18.634,-0.0076, 0.0869,-1.0051, 0.0076,-0.0077,-0.0175,-0.0160, 0.0191,-0.0097, 0.0049,-0.0906,-1.7107,41.740584,-91.592872,-1.0000, 271.6488, 242.369781, 2863.8, 29.1,Automotive,Low, 98.0131, 0.0000, 65.1608, 23.6141,-275.5856, 0.0000, 0.0000, 0.0000
21-May-2019 14:59:18.682,-0.0072, 0.0859,-1.0094, 0.0047,-0.0045,-0.0150,-0.0096, 0.0286,-0.0107, 0.0043,-0.0899,-1.7109,41.740584,-91.592872,-1.0000, 271.6488, 242.369781, 2863.8, 29.1,Automotive,Low, 98.0131, 0.0000, 63.5629, 23.7917,-273.0541, 0.0000, 0.0000, 0.0000
21-May-2019 14:59:18.711,-0.0013, 0.0855,-1.0085, 0.0038,-0.0048,-0.0216,-0.0182, 0.0255,-0.0118, 0.0044,-0.0897,-1.7109,41.740584,-91.592872,-1.0000, 271.6488, 242.369781, 2863.8, 29.1,Automotive,Low, 98.0131, 0.0000, 63.3853, 23.2590,-276.5981, 0.0000, 0.0000, 0.0000
21-May-2019 14:59:18.751,-0.0008, 0.0788,-1.0118, 0.0056,-0.0044,-0.0174,-0.0150, 0.0286,-0.0128, 0.0046,-0.0893,-1.7110,41.740584,-91.592872,-1.0000, 271.6488, 242.369781, 2863.8, 29.1,Automotive,Low, 98.0131, 0.0000, 63.3853, 23.2590,-274.9105, 0.0000, 0.0000, 0.0000
21-May-2019 14:59:18.790, 0.0031, 0.0826,-1.0129, 0.0056,-0.0067,-0.0187,-0.0150, 0.0286,-0.0107, 0.0047,-0.0885,-1.7111,41.740584,-91.592872,-1.0000, 271.6488, 242.369781, 2863.8, 29.1,Automotive,Low, 98.0131, 0.0000, 63.0302, 23.6141,-276.2606, 0.0000, 0.0000, 0.0000
21-May-2019 14:59:18.831, 0.0014, 0.0841,-1.0081, 0.0066,-0.0106,-0.0222,-0.0150, 0.0265,-0.0118, 0.0050,-0.0878,-1.7111,41.740584,-91.592872,-1.0000, 271.6488, 242.369781, 2863.8, 29.1,Automotive,Low, 98.0131, 0.0000, 62.8527, 24.5019,-275.4168, 0.0000, 0.0000, 0.0000
21-May-2019 14:59:18.873, 0.0015, 0.0833,-1.0141, 0.0026,-0.0094,-0.0155,-0.0128, 0.0286,-0.0118, 0.0051,-0.0869,-1.7112,41.740584,-91.592872,-1.0000, 271.6488, 242.369781, 2863.8, 29.1,Automotive,Low, 98.0131, 0.0000, 63.9180, 22.0162,-276.7669, 0.0000, 0.0000, 0.0000
21-May-2019 14:59:18.906, 0.0022, 0.0844,-1.0154, 0.0037,-0.0065,-0.0155,-0.0171, 0.0265,-0.0096, 0.0051,-0.0867,-1.7113,41.740584,-91.592872,-1.0000, 271.6488, 242.369781, 2863.8, 29.1,Automotive,Low, 98.0131, 0.0000, 62.4976, 24.5019,-276.7669, 0.0000, 0.0000, 0.0000
21-May-2019 14:59:18.950, 0.0029, 0.0810,-1.0119,-0.0021,-0.0049,-0.0156,-0.0139, 0.0276,-0.0118, 0.0050,-0.0860,-1.7114,41.740584,-91.592872,-1.0000, 271.6488, 242.369781, 2863.8, 29.1,Automotive,Low, 98.0131, 0.0000, 62.8527, 23.7917,-274.0667, 0.0000, 0.0000, 0.0000
